"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 29 23:31:48 UTC 2025","Mon Dec 29 23:31:48 UTC 2025","2","Surefire suite","Surefire test","com.cjs.qa.utilities.DataProviderTest","com.cjs.qa.utilities.DataProviderTest","testJSONDataProviderReadsFile","testJSONDataProviderReadsFile [DEV]",""
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:25 UTC 2025","3567","","Robot Framework Tests","","RobotFramework","","Home Page Should Load [DEV]","Robot Framework test: Home Page Should Load"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/companies.spec.ts","","Companies Integration Tests › should navigate to companies from home page [TEST]","Playwright test: Companies Integration Tests › should navigate to companies from home page"
"passed","Mon Dec 29 23:34:28 UTC 2025","Mon Dec 29 23:34:29 UTC 2025","980","Surefire suite","Surefire test","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","testResponsiveDesignMultipleDevices","testResponsiveDesignMultipleDevices [DEV]","Test responsive design across multiple mobile devices"
"passed","Mon Dec 29 23:32:38 UTC 2025","Mon Dec 29 23:32:38 UTC 2025","0","Surefire suite","Surefire test","com.cjs.qa.junit.tests.api.APIContractTests","com.cjs.qa.junit.tests.api.APIContractTests","testGoToWebinarAuthResponseSchema","testGoToWebinarAuthResponseSchema [DEV]","Validate GoToWebinar OAuth token response matches schema"
"passed","Mon Dec 29 23:33:49 UTC 2025","Mon Dec 29 23:33:49 UTC 2025","447","Surefire suite","Surefire test","com.cjs.qa.junit.tests.SimpleGridTest","com.cjs.qa.junit.tests.SimpleGridTest","testNavigateToGoogle","testNavigateToGoogle [DEV]","Verify navigation to Google.com works correctly"
"passed","Mon Dec 29 23:26:06 UTC 2025","Mon Dec 29 23:26:36 UTC 2025","30000","","Performance Tests","","Performance","","Locust: Quick Smoke Test [DEV]","Locust Quick Smoke Test - All 284 requests passed successfully"
"passed","Mon Dec 29 23:32:12 UTC 2025","Mon Dec 29 23:32:14 UTC 2025","2593","Surefire suite","Surefire test","com.cjs.qa.utilities.PageObjectGeneratorBrowserTest","com.cjs.qa.utilities.PageObjectGeneratorBrowserTest","testEmptyPageHandling","testEmptyPageHandling [DEV]",""
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/companies.spec.ts","","Companies Integration Tests › should load companies list page [TEST]","Playwright test: Companies Integration Tests › should load companies list page"
"passed","Mon Dec 29 23:34:29 UTC 2025","Mon Dec 29 23:34:30 UTC 2025","1669","Surefire suite","Surefire test","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","com.cjs.qa.junit.tests.mobile.MobileBrowserTests","testMobileTouchInteractions","testMobileTouchInteractions [DEV]","Test touch-based interactions on mobile devices"
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:23 UTC 2025","1260","","Playwright Tests","","homepage.spec.ts","","HomePage › should display the navigation panel [DEV]","Playwright test: HomePage › should display the navigation panel"
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1051","","Cypress Tests","","Cypress","","HomePage [PROD]","Cypress test: ['HomePage', 'should load the home page']"
"passed","Mon Dec 29 23:33:28 UTC 2025","Mon Dec 29 23:33:28 UTC 2025","482","Surefire suite","Surefire test","com.cjs.qa.junit.tests.AdvancedFeaturesTests","com.cjs.qa.junit.tests.AdvancedFeaturesTests","testWindowManagement","testWindowManagement [DEV]","Test window size, position, and maximize"
"passed","Mon Dec 29 23:33:49 UTC 2025","Mon Dec 29 23:33:49 UTC 2025","0","Surefire suite","Surefire test","com.cjs.qa.junit.tests.SimpleGridTest","com.cjs.qa.junit.tests.SimpleGridTest","testGridConnection","testGridConnection [DEV]","Verify that connection to Selenium Grid is successful and driver is initialized"
"passed","Mon Dec 29 23:26:06 UTC 2025","Mon Dec 29 23:26:36 UTC 2025","30000","","Performance Tests","","Performance","","Locust: Quick Smoke Test [TEST]","Locust Quick Smoke Test - All 270 requests passed successfully"
"passed","Mon Dec 29 23:31:48 UTC 2025","Mon Dec 29 23:31:48 UTC 2025","19","Surefire suite","Surefire test","com.cjs.qa.utilities.DataProviderTest","com.cjs.qa.utilities.DataProviderTest","testCSVDataProviderReadsFile","testCSVDataProviderReadsFile [DEV]",""
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should create a new application [PROD]","Playwright test: Applications Integration Tests › should create a new application"
"passed","Mon Dec 29 23:32:03 UTC 2025","Mon Dec 29 23:32:12 UTC 2025","8579","Surefire suite","Surefire test","com.cjs.qa.utilities.PageObjectGeneratorBrowserTest","com.cjs.qa.utilities.PageObjectGeneratorBrowserTest","testHiddenElementsFiltering","testHiddenElementsFiltering [DEV]",""
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should edit an existing application [TEST]","Playwright test: Applications Integration Tests › should edit an existing application"
"passed","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:25 UTC 2025","3618","","Robot Framework Tests","","RobotFramework","","Home Page Should Load [TEST]","Robot Framework test: Home Page Should Load"
"skipped","Mon Dec 29 23:36:21 UTC 2025","Mon Dec 29 23:36:22 UTC 2025","1000","","Playwright Tests","","integration/applications.spec.ts","","Applications Integration Tests › should view application details [PROD]","Playwright test: Applications Integration Tests › should view application details"
"passed","Mon Dec 29 23:31:48 UTC 2025","Mon Dec 29 23:31:48 UTC 2025","0","Surefire suite","Surefire test","com.cjs.qa.utilities.DataProviderTest","com.cjs.qa.utilities.DataProviderTest","testDataProviderIntegration","testDataProviderIntegration [DEV]",""
"passed","Mon Dec 29 23:33:51 UTC 2025","Mon Dec 29 23:34:05 UTC 2025","13695","Surefire suite","Surefire test","com.cjs.qa.junit.tests.mobile.ResponsiveDesignTests","com.cjs.qa.junit.tests.mobile.ResponsiveDesignTests","testMultipleViewportSizes","testMultipleViewportSizes [DEV]","Test website responsiveness across all standard viewports"
